site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P351 08NOV15 2008.8734 54785 1505 7 -114.7  -1539 -0.848600   4859868  0.453737  2692  0.597480  0.0083 0.000480 0.000648 0.001875  0.033471 -0.110417 -0.106446
P351 08NOV16 2008.8761 54786 1506 1 -114.7  -1539 -0.846912   4859868  0.453723  2692  0.604707  0.0083 0.000474 0.000638 0.001848  0.030783 -0.090827 -0.105735
P351 08NOV17 2008.8789 54787 1506 2 -114.7  -1539 -0.849940   4859868  0.454060  2692  0.606452  0.0083 0.000472 0.000641 0.001826  0.050959 -0.076414 -0.118433
P351 08NOV18 2008.8816 54788 1506 3 -114.7  -1539 -0.847894   4859868  0.453018  2692  0.603842  0.0083 0.000470 0.000642 0.001824  0.050526 -0.073984 -0.128168
P351 08NOV19 2008.8843 54789 1506 4 -114.7  -1539 -0.847287   4859868  0.453725  2692  0.603734  0.0083 0.000468 0.000646 0.001807  0.070892 -0.073119 -0.121215
P351 08NOV20 2008.8871 54790 1506 5 -114.7  -1539 -0.848390   4859868  0.453969  2692  0.599485  0.0083 0.000477 0.000646 0.001841  0.029473 -0.078119 -0.102385
P351 08NOV21 2008.8898 54791 1506 6 -114.7  -1539 -0.846708   4859868  0.453657  2692  0.598859  0.0083 0.000483 0.000645 0.001875  0.035781 -0.072974 -0.113573
P351 08NOV22 2008.8925 54792 1506 7 -114.7  -1539 -0.847435   4859868  0.452432  2692  0.601864  0.0083 0.000467 0.000636 0.001795  0.032837 -0.058327 -0.127377
P351 08NOV23 2008.8953 54793 1507 1 -114.7  -1539 -0.848636   4859868  0.450735  2692  0.602764  0.0083 0.000475 0.000650 0.001831  0.052507 -0.089806 -0.144955
P351 08NOV24 2008.8980 54794 1507 2 -114.7  -1539 -0.849323   4859868  0.450880  2692  0.600781  0.0083 0.000472 0.000646 0.001812  0.056775 -0.076803 -0.149706
P351 08NOV25 2008.9008 54795 1507 3 -114.7  -1539 -0.849466   4859868  0.453112  2692  0.600216  0.0083 0.000466 0.000631 0.001781  0.048838 -0.077801 -0.122937
P351 08NOV26 2008.9035 54796 1507 4 -114.7  -1539 -0.848902   4859868  0.454116  2692  0.597743  0.0083 0.000467 0.000632 0.001779  0.045334 -0.075620 -0.120279
P351 08NOV27 2008.9062 54797 1507 5 -114.7  -1539 -0.849164   4859868  0.453001  2692  0.603762  0.0083 0.000469 0.000636 0.001803  0.029563 -0.074271 -0.125551
P351 08NOV28 2008.9090 54798 1507 6 -114.7  -1539 -0.850390   4859868  0.453145  2692  0.610382  0.0083 0.000469 0.000634 0.001811  0.035388 -0.089721 -0.131133
P351 08NOV29 2008.9117 54799 1507 7 -114.7  -1539 -0.849362   4859868  0.452138  2692  0.606591  0.0083 0.000461 0.000627 0.001773  0.051599 -0.084734 -0.133061
P351 08NOV30 2008.9144 54800 1508 1 -114.7  -1539 -0.849846   4859868  0.454034  2692  0.601142  0.0083 0.000465 0.000630 0.001778  0.053927 -0.084799 -0.129702
P351 08DEC01 2008.9172 54801 1508 2 -114.7  -1539 -0.849523   4859868  0.453943  2692  0.606770  0.0083 0.000469 0.000636 0.001801  0.050156 -0.075429 -0.116248
P351 08DEC02 2008.9199 54802 1508 3 -114.7  -1539 -0.851087   4859868  0.452281  2692  0.610198  0.0083 0.000461 0.000627 0.001761  0.037985 -0.046922 -0.122917
P351 08DEC03 2008.9227 54803 1508 4 -114.7  -1539 -0.849544   4859868  0.453823  2692  0.603558  0.0083 0.000462 0.000629 0.001777  0.035319 -0.059702 -0.129066
P351 08DEC04 2008.9254 54804 1508 5 -114.7  -1539 -0.849172   4859868  0.451151  2692  0.601454  0.0083 0.000466 0.000628 0.001804  0.043707 -0.098895 -0.141024
P351 08DEC05 2008.9281 54805 1508 6 -114.7  -1539 -0.849816   4859868  0.449711  2692  0.602836  0.0083 0.000469 0.000628 0.001795  0.040954 -0.069511 -0.138344
P351 08DEC06 2008.9309 54806 1508 7 -114.7  -1539 -0.849447   4859868  0.454007  2692  0.607155  0.0083 0.000476 0.000637 0.001825  0.054821 -0.079615 -0.131547
P351 08DEC07 2008.9336 54807 1509 1 -114.7  -1539 -0.848378   4859868  0.455044  2692  0.605484  0.0083 0.000469 0.000633 0.001806  0.041528 -0.068331 -0.127507
P351 08DEC08 2008.9363 54808 1509 2 -114.7  -1539 -0.847909   4859868  0.452547  2692  0.604657  0.0083 0.000465 0.000631 0.001782  0.032138 -0.024610 -0.138267
P351 08DEC09 2008.9391 54809 1509 3 -114.7  -1539 -0.848396   4859868  0.456927  2692  0.601730  0.0083 0.000465 0.000630 0.001783  0.052379 -0.048939 -0.135650
P351 08DEC10 2008.9418 54810 1509 4 -114.7  -1539 -0.847367   4859868  0.453449  2692  0.601347  0.0083 0.000469 0.000626 0.001797  0.057040 -0.064903 -0.138112
P351 08DEC11 2008.9446 54811 1509 5 -114.7  -1539 -0.847152   4859868  0.453539  2692  0.601027  0.0083 0.000469 0.000642 0.001823  0.044502 -0.066395 -0.113847
P351 08DEC12 2008.9473 54812 1509 6 -114.7  -1539 -0.850733   4859868  0.452998  2692  0.602862  0.0083 0.000475 0.000647 0.001847  0.031224 -0.073157 -0.116851
P351 08DEC13 2008.9500 54813 1509 7 -114.7  -1539 -0.852155   4859868  0.453136  2692  0.608279  0.0083 0.000465 0.000627 0.001774  0.060386 -0.053516 -0.146550
P351 08DEC14 2008.9528 54814 1510 1 -114.7  -1539 -0.850313   4859868  0.453331  2692  0.603917  0.0083 0.000464 0.000629 0.001777  0.049788 -0.038083 -0.139410
P351 08DEC15 2008.9555 54815 1510 2 -114.7  -1539 -0.850538   4859868  0.452694  2692  0.599069  0.0083 0.000467 0.000629 0.001784  0.056111 -0.059473 -0.145610
P351 08DEC16 2008.9582 54816 1510 3 -114.7  -1539 -0.850497   4859868  0.453850  2692  0.599315  0.0083 0.000462 0.000627 0.001784  0.058558 -0.067837 -0.138498
